"","USP43","SHANK3","PPP1R1B","ORC1","INPP5B","MYBL2","EXO1","DYNLL1","CENPF","B4GALT1"
"CpG 1","0.769327794303712",0.2612111342055,"0.818865708258676","0.383109312817738","0.0264161185100287","0.605398982576207","0.36227862289065","0.0142518639900139","0.777857523561442","0.534855208840737"
"CpG 2","0.648495716936158",0.446992025265909,"0.998159612979414","","0.674604615059818","0.703474988666801","0.552576901225214","","0.613349155522917","0.212211727839979"
"CpG 3","0.8087890071644",0.15644899601224,"0.936478516195825","","0.118614629785344","0.91371421591277","0.1312823227419","","0.944164601592091","0.230009643827741"
"CpG 4","0.281623492134229",0.103561155944645,"0.739320243661074","","0.780445381573487","0.854648152127887","0.819439480499456","","0.94489707923258",""
"CpG 5","0.0819937831536367",0.246030225367608,"0.827073536737319","","0.530954563835462","0.752766082837154","0.918992316763069","","0.868252758905077",""
"CpG 6","0.00619283564522705",0.640578465306348,"0.974890369361064","","0.885022022496533","0.751386588540894","0.821438693031559","","0.740734526518612",""
"CpG 7","0.615641833123459",0.720030066921257,"0.968748313642931","","0.728768675064807","0.0633858282501379","0.764827720277181","","0.964839548943893",""
"CpG 8","0.0252377940590019",0.599933763363244,"0.886810311150873","","0.740557958265423","0.329133184344578","0.796992993525568","","0.812332279356538",""
"CpG 9","0.0703758879065262",0.34948439063139,"0.979126517533915","","0.695509760250202","0.778344068834875","0.929550597811643","","0.640985984307853",""
"CpG 10","0.0718574169834862",0.322261309937152,"0.65051560936861","","0.824129515867389","0.68513133893061","0.798375842154171","","0.924411834245562",""
"CpG 11","0.269068112262625",0.148358861818048,"","","0.649910085882098","0.066493053409207","0.47685527273977","","0.79944747971706",""
"CpG 12","0.830674737157271",0.124332502049255,"","","0.208594775523695","","0.623116509230304","","0.470346330368861",""
"CpG 13","",0.320698980122682,"","","0.00552213474635997","","0.762306881015833","","0.482718655010083",""
"CpG 14","",0.137534744728854,"","","0.00953941980061174","","0.271773479608802","","0.5437269282558",""
"CpG 15","",0.153979085310105,"","","0.0409710853631994","","0.103561155944645","","0.948273219421742",""
"CpG 16","",0.0979829119886995,"","","0.0326582193091285","","","","0.0313284906700832",""
"CpG 17","",0.27777253697719,"","","0.0521904581820923","","","","0.172091115621097",""
"CpG 18","",0.46319570025554,"","","0.480980909540572","","","","",""
"CpG 19","",0.319529311548413,"","","0.130240402562552","","","","",""
"CpG 20","",0.325199140106331,"","","","","","","",""
"CpG 21","",0.311970594334579,"","","","","","","",""
"CpG 22","",0.893864783433986,"","","","","","","",""
"CpG 23","",0.39187609420106,"","","","","","","",""
"CpG 24","",0.312356336614244,"","","","","","","",""
"CpG 25","",0.3392501683726,"","","","","","","",""
"CpG 26","",0.277041947637441,"","","","","","","",""
"CpG 27","",0.459300214253075,"","","","","","","",""
"CpG 28","",0.392085517354561,"","","","","","","",""
"CpG 29","",0.694364139546541,"","","","","","","",""
